S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year Col. (4),Cases Reopened for Investigation Col. (5),Total Cases for Investigation (Col.3+ Col.4+Col.5) - Col. (6),Cases Not Investigated Under 157_1_b CRPC - Col. (7),Cases Transferred to Other State or Agency - Col. (8),Cases Withdrawn by the Govt during Investigation - Col. (9),Final Report - Cases Ended as FR Non Cognizable - Col. (10),Final Report - Cases Ended as Final Report False - Col. (11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - Col. (12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - Col. (13),Final Report - Cases Abated during Investigation - Col. (14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - Col. (15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - Col. (16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - Col. (17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - Col. (18),Total Cases Disposed Off by Police (Col.7+8+15+18) - Col. (19),Cases Quashed at Investigation Stage - Col. (20),Cases Stayed at Investigation Stage - Col. (21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - Col. (22),Chargesheeting Rate (Col.18/19*100) - Col. (23),Pendency Percentage (Col.22/6*100) - Col. (24)
13,Fraud,0.546300004,1.0554906,1.124780338,0.758956285,0,0.459354187,-0.334777854,-0.401128588,0.595974942,1.588132902,0.615158297,-0.182672731,0.700917162,-0.016265384,0.228791053,0.093766037,0.494408639,0.037301814,-0.413096192,0.966765221,-1.013202502,0.259156993
13.1,Credit Card/Debit Card,-0.332138408,-0.270070444,-0.36242922,-0.309252417,0,-0.447457244,-0.334777854,-0.401128588,-0.217724592,-0.18430421,-0.304550347,-0.338071409,-0.296635421,-0.352321105,-0.326849852,-0.345436226,-0.314731561,-0.191171798,-0.413096192,-0.301322324,-0.861370602,-0.095998351
13.2,ATMs,-0.167499805,-0.240632562,-0.18746339,-0.198634949,0,-0.317912754,-0.334777854,-0.401128588,-0.262930121,0.252282361,-0.27383894,-0.306991674,-0.232927417,-0.276583173,-0.25088087,-0.268611136,-0.24613412,-0.41964541,-0.413096192,-0.157519396,-0.608317435,0.31205247
13.3,Online Banking Fraud,-0.061692063,0.072372404,0.687365762,-0.00661807,0,0.297423574,-0.334777854,-0.401128588,-0.243556323,0.434918177,-0.096104836,-0.275911938,-0.056810833,-0.305172988,-0.294829868,-0.304481674,-0.140770772,-0.41964541,-0.413096192,0.10315796,-1.2367328,0.621868834
13.4,OTP Frauds,-0.336309253,-0.22682352,-0.274946305,-0.293987294,0,-0.447457244,-0.334777854,-0.401128588,-0.321051517,-0.408685355,-0.267958032,-0.275911938,-0.284717758,-0.362352619,-0.350080037,-0.361535602,-0.312409504,-0.41964541,-0.413096192,-0.275578362,-1.0849009,0.168479033
13.5,Others,-0.257502241,-0.055013338,-0.36242922,-0.176765145,0,-0.415071121,-0.334777854,-0.401128588,-0.133771465,-0.217352595,-0.12387579,-0.338071409,-0.134790607,-0.299655656,-0.295457711,-0.301657222,-0.193210565,-0.191171798,-0.413096192,-0.161309918,-1.089118452,-0.171563317
14,Cheating,0.135362051,0.235083603,0.293692644,0.177263241,0,-0.350298876,-0.334777854,0.232913374,0.047050653,0.304464023,0.063496469,-0.306991674,0.082669971,-0.21739724,-0.130335046,-0.181053128,-0.008703766,1.179669874,0.598989479,0.326798758,-0.996332291,0.56141686
15,Forgery,-0.371139464,-0.42271924,-0.406170678,-0.394982048,0,-0.447457244,-0.334777854,-0.401128588,-0.424378442,-0.398249023,-0.36172584,-0.275911938,-0.370642641,-0.374390435,-0.398423935,-0.390062565,-0.378684888,-0.41964541,-0.413096192,-0.403824356,-0.928851447,-0.995221455
16,Defamation/Morphing,-0.419799317,-0.440596063,-0.36242922,-0.431329662,0,-0.317912754,-0.334777854,-0.401128588,-0.430836374,-0.424339854,-0.415634162,-0.338071409,-0.421844455,-0.392447161,-0.432955291,-0.415765077,-0.420772176,-0.41964541,-0.413096192,-0.435096163,-0.852935496,-0.466266688
17,Fake Profile,-0.411750319,-0.430747753,-0.406170678,-0.422538001,0,-0.447457244,-0.334777854,-0.401128588,-0.437294307,-0.419121688,-0.410406689,-0.338071409,-0.416841979,-0.385926677,-0.423537648,-0.407856612,-0.415160537,-0.41964541,-0.413096192,-0.423803566,-0.266695659,0.296939477
