S. No. (Col.1),Crime Head,Cases Pending Investi-gation from Previous Year,Cases Reported during the year,Cases Reopened for Investi-gation,Total Cases for Investi-gation (Col.3+ Col.4+ Col.5),Cases Not Investi-gated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investi-gation,Final Report -  Cases Ended as FR Non Cognizable,Final Report -  Cases Ended as Final Report False,Final Report -  Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report -  Cases True but Insufficient Evidence or Untraced or No Clue,Final Report -  Cases Abated during Investigation,Final Report -  Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted -  Cases Chargesheeted Out of Cases from Previous Year,Chargesheets submitted -  Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted -  Cases Chargesheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),Charge-Sheeting Rate (Col.18/ Col.19) *100,Pen- dency Percent age (Col.22/ Col.6) *100
14.1,Credit Card/Debit Card,-0.341876011,-0.37876012,-0.400195067,-0.36404446,0,-0.339168324,-0.255376959,-0.368988731,-0.36831234,-0.399120372,-0.372664544,-0.244136345,-0.377882404,-0.385350851,-0.415435431,-0.405422676,-0.389941631,-0.347602198,-0.357949896,-0.349754332,-0.947560786,0.637837114
14.2,ATMs,-0.111057247,-0.174096636,0.701465512,-0.148011156,0,-0.339168324,-0.255376959,-0.368988731,-0.108082304,0.131185789,-0.174093218,-0.355417098,-0.146943376,-0.246199806,-0.122297699,-0.172914584,-0.159009798,-0.347602198,-0.357949896,-0.141757158,-0.706697159,0.327383583
14.3,Online Banking Fraud,-0.235120191,-0.170966489,-0.400195067,-0.197772431,0,-0.273994803,-0.255376959,-0.368988731,-0.326112875,-0.027410446,-0.15809458,-0.244136345,-0.169230337,-0.264349943,-0.298788928,-0.286422471,-0.21591968,0.344073242,-0.357949896,-0.188883088,-1.108136537,0.357919996
14.4,OTP Frauds,-0.365523368,-0.356849088,0.921797627,-0.360505251,0,-0.339168324,-0.255376959,-0.368988731,-0.371828963,-0.423901034,-0.336432335,-0.355417098,-0.351368605,-0.403500987,-0.375877052,-0.388945725,-0.36736581,-0.434061628,-0.357949896,-0.354276009,-0.991719117,0.184880323
14.5,Others,-0.320970377,-0.283651795,-0.400195067,-0.299489292,0,-0.339168324,-0.255376959,-0.368988731,-0.220614212,-0.106708564,-0.274319977,-0.355417098,-0.259530955,-0.349050578,-0.25517328,-0.294355818,-0.27471088,-0.347602198,-0.357949896,-0.307351043,-0.790999428,-0.125573208
15,Cheating,0.30671272,-0.014459119,-0.179862952,0.118137345,0,-0.208821282,-0.255376959,-0.368988731,-0.273363543,-0.002629785,0.081884984,-0.299776722,0.034042117,-0.097973694,-0.132440873,-0.119211927,-0.026612017,-0.088223908,-0.357949896,0.179181475,-0.987704723,0.709088744
16,Forgery,-0.364666579,-0.361303529,-0.400195067,-0.36319505,0,-0.339168324,-0.255376959,-0.368988731,-0.371828963,-0.384251975,-0.423013197,-0.355417098,-0.418998004,-0.291575147,-0.417464065,-0.368807229,-0.400994377,-0.174683338,-0.357949896,-0.344026873,0.858916417,0.912664829
17,Defamation/Morphing,-0.426526694,-0.420655939,-0.400195067,-0.423644736,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434306353,-0.355417098,-0.433599806,-0.439801259,-0.442822001,-0.443868897,-0.438855909,-0.434061628,-0.357949896,-0.413359264,0.999420199,1.202760752
18,Fake Profile,-0.416759307,-0.4124694,-0.400195067,-0.414796714,0,-0.339168324,-0.255376959,-0.368988731,-0.347212608,-0.448681696,-0.424424842,-0.355417098,-0.422456326,-0.417113589,-0.426592922,-0.424950915,-0.424746021,-0.434061628,-0.357949896,-0.406827952,-0.052350972,-0.156109621
19,Counterfeiting,-0.427383482,-0.422341403,-0.400195067,-0.424989635,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434306353,-0.355417098,-0.433599806,-0.438288748,-0.442822001,-0.443258639,-0.438620744,-0.434061628,-0.357949896,-0.415368899,1.131895194,0.266310757
19.1,Currency,-0.42755484,-0.422341403,-0.400195067,-0.42506042,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434306353,-0.355417098,-0.433599806,-0.439801259,-0.442822001,-0.443868897,-0.438855909,-0.434061628,-0.357949896,-0.415368899,0.999420199,0.459708039
19.2,Stamps,-0.429611131,-0.422943354,-0.400195067,-0.426263751,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434776902,-0.355417098,-0.433984064,-0.439801259,-0.445864953,-0.445699669,-0.439796568,-0.434061628,-0.357949896,-0.416675161,1.802298956,-3.214840309
20,Cyber Blackmailing/Threatening,-0.379574696,-0.378158169,0.26080128,-0.379050705,0,-0.339168324,-0.255376959,-0.368988731,-0.340179364,-0.389208108,-0.401367982,-0.355417098,-0.398248075,-0.403500987,-0.359647973,-0.379181606,-0.392293279,-0.434061628,-0.357949896,-0.369951158,-0.036293397,0.327383583
21,Fake News on Social Media ,-0.403564768,-0.4000692,-0.400195067,-0.402055562,0,-0.306581563,-0.255376959,-0.368988731,-0.371828963,-0.399120372,-0.427718679,-0.355417098,-0.423993358,-0.42921368,-0.393120447,-0.409694479,-0.419572396,-0.434061628,-0.357949896,-0.390951839,0.557836883,0.58185369
22,Other Offences,-0.169318851,-0.200341718,0.26080128,-0.187650294,0,-0.273994803,3.915780041,-0.161167492,-0.122148793,-0.096796299,-0.32231589,-0.299776722,-0.286429012,-0.09343616,0.214455681,0.091326897,-0.142077933,0.257613812,-0.357949896,-0.206065463,0.577908852,-0.049232176
Total,Total Offences under IPC,1.64364516,1.230015253,3.565783017,1.403294838,0,0.051872802,3.915780041,-0.161167492,0.63040834,2.118594861,1.22908141,0.312267418,1.238690787,1.269336565,1.832291949,1.614529521,1.380614141,2.419099562,-0.357949896,1.399230593,-0.461819138,0.342651789
24,Gambling Act (Online Gambling),-0.426012621,-0.420294768,-0.400195067,-0.423220031,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434306353,-0.355417098,-0.433599806,-0.438288748,-0.431664509,-0.436545807,-0.436033932,-0.434061628,-0.357949896,-0.413962154,1.565449723,-0.089947393
25,Lotteries Act (Online Lotteries),-0.427383482,-0.421859842,-0.400195067,-0.424706499,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434776902,-0.355417098,-0.433984064,-0.439801259,-0.445864953,-0.445699669,-0.439796568,-0.434061628,-0.357949896,-0.414464563,1.802298956,1.655717542
26,Copy Right Act,-0.408705497,-0.418850085,-0.400195067,-0.415221419,0,-0.339168324,-0.255376959,-0.368988731,-0.343695986,-0.448681696,-0.429600872,-0.355417098,-0.426298905,-0.430726191,-0.440793366,-0.438986837,-0.43250646,-0.434061628,-0.357949896,-0.404114945,-0.706697159,0.836323797
27,Trade Marks Act,-0.42755484,-0.422943354,-0.400195067,-0.42541434,0,-0.339168324,-0.255376959,-0.368988731,-0.375345585,-0.448681696,-0.434776902,-0.355417098,-0.433984064,-0.438288748,-0.445864953,-0.445089412,-0.439561404,-0.434061628,-0.357949896,-0.415569862,1.802298956,1.090793904
28,Other SLL Crimes,-0.422242752,-0.420294768,-0.400195067,-0.421662779,0,-0.306581563,-0.255376959,-0.368988731,-0.375345585,-0.438769431,-0.434306353,-0.355417098,-0.43283129,-0.436776236,-0.439779048,-0.440817609,-0.436974591,-0.434061628,-0.357949896,-0.41134963,0.565865671,0.871949612
Total,Total Offences under SLL,-0.392769235,-0.4124694,-0.400195067,-0.404886929,0,-0.306581563,-0.255376959,-0.368988731,-0.343695986,-0.438769431,-0.428659775,-0.355417098,-0.424761873,-0.4186261,-0.420507018,-0.421899628,-0.424746021,-0.434061628,-0.357949896,-0.39276051,0.256757349,0.780340374
Grand Total,Total Cyber Crimes,5.070626942,4.939962262,4.887775712,5.00061743,0,3.897110544,3.915780041,3.371793579,4.920687318,5.300431828,4.984526316,4.318374516,5.055140735,5.014314665,5.297200221,5.210166485,5.129611367,5.358720182,4.026936331,4.90051634,-0.642466858,0.29684717
