S. No. (Col.1),Crime Head (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the Year (Col. 4),Cases Reopened for Investigation (Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - (Col. 19),Cases Quashed at  Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols. 6-9-19-20) - (Col. 22),Chargesheeting Rate (Col.18/ 19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
13.1,Credit Card/Debit Card,-0.348768047,-0.307765409,-0.301916556,-0.332202346,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.150522962,-0.154097378,-0.347384724,-0.36348753,-0.326022202,-0.345568735,-0.29158762,-0.312459683,-0.321542597,-0.412143347,-0.414741098,-0.335273429,-0.502530301,-0.267852156
13.2,ATMs,-0.142895367,-0.199691104,-0.301916556,-0.172816021,-0.346614112,-0.322590409,-0.339441429,-0.418163556,-0.204163872,-0.002008378,-0.178884015,-0.323995537,-0.169180033,-0.115821057,-0.23944025,-0.199726333,-0.185555928,-0.412143347,-0.414741098,-0.167174069,-0.750077947,0.26361533
13.3,Online Banking Fraud,-0.189834738,0.011422989,-0.301916556,-0.098052605,-0.275252383,-0.382014958,-0.339441429,0.197152187,-0.347206299,-0.256981114,-0.090328897,-0.36348753,-0.114998192,-0.281749936,-0.261119494,-0.270430176,-0.190786185,-0.412143347,-0.414741098,-0.061260486,-1.333916736,0.819995354
13.4,OTP Frauds,-0.354572916,-0.319065104,-0.301916556,-0.34058555,-0.275252383,-0.382014958,-0.339441429,-0.418163556,-0.418727512,-0.31513279,-0.307616917,-0.36348753,-0.314971959,-0.394303091,-0.371859414,-0.382770727,-0.349001443,-0.412143347,-0.414741098,-0.33615238,-1.502062307,0.180573535
13.5,Others,-0.307833712,-0.228667548,-0.301916556,-0.273361744,-0.346614112,-0.382014958,-0.339441429,-0.295100408,-0.132642659,-0.221195467,-0.273588793,-0.36348753,-0.265780551,-0.325842924,-0.370101638,-0.358417181,-0.311829263,-0.412143347,-0.414741098,-0.257339782,-1.460025914,0.653911765
14,Cheating,0.174270663,0.059866233,-0.301916556,0.116589051,-0.346614112,-0.26316586,-0.339441429,-0.418163556,-0.239924479,0.31558924,0.268401324,0.781780275,0.253580907,0.096521494,-0.249400984,-0.134521677,0.067177536,0.249988587,-0.414741098,0.135624515,-1.488050176,0.404786381
15,Forgery,-0.344964857,-0.376234845,-0.301916556,-0.362466239,-0.346614112,-0.322590409,-0.339441429,-0.418163556,-0.391907057,-0.395650496,-0.391252306,-0.36348753,-0.393036584,-0.022993712,-0.395296434,-0.272786971,-0.337606956,-0.412143347,-0.414741098,-0.371017432,0.697842248,-0.982011591
16,Defamation/Morphing,-0.413422277,-0.435642149,-0.301916556,-0.426526572,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.436607816,-0.440382555,-0.440039616,-0.36348753,-0.440802154,-0.444197789,-0.42576456,-0.435798609,-0.440344136,-0.412143347,0.366886356,-0.419725961,-0.474506039,1.799888532
17,Fake Profile,-0.40691682,-0.424678089,-0.301916556,-0.417932469,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.435909349,-0.434299932,-0.36348753,-0.435811721,-0.427953004,-0.411116423,-0.420479443,-0.430444008,-0.412143347,-0.414741098,-0.411668911,0.482989574,0.537653252
18,Counterfeiting,-0.415423956,-0.440341032,-0.301916556,-0.429795494,-0.346614112,-0.382014958,-0.339441429,-0.418163556,-0.445547967,-0.440382555,-0.441269548,-0.36348753,-0.442227992,-0.444197789,-0.426936411,-0.436584207,-0.441464906,-0.412143347,-0.414741098,-0.423827732,1.860849115,1.83310525
